,,age total,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100 or over
Nowon0gu,Forigner,"4,547",76,58,28,291,"1,422",698,512,333,278,233,236,220,91,38,17,10,4,0,1,0,1
Eunpyeong0gu,Total,486159,14807,17561,18325,23206,"30,585","36,395","32,655","38,928","36,260","43,072","39,478","39,409","35,521","25,200","21,049","17,076","10,147","4,111","1,559",428,387
Eunpyeong0gu,Korean,481663,14690,17468,18254,23022,"30,262","35,882","32,022","38,401","35,869","42,679","39,074","38,983","35,275","25,119","21,007","17,050","10,132","4,103","1,556",428,387
Eunpyeong0gu,Forigner,4496,117,93,71,184,323,513,633,527,391,393,404,426,246,81,42,26,15,8,3,0,0
Seodaemun0gu,Total,324089,9737,11156,11077,14988,"28,030","28,760","22,431","24,372","22,430","27,049","25,475","24,925","21,951","15,094","13,109","11,301","7,340","3,069","1,167",352,276
Seodaemun0gu,Korean,310069,9594,10973,10894,14078,"22,720","26,252","21,253","23,644","21,896","26,501","25,016","24,398","21,579","14,910","12,985","11,249","7,297","3,048","1,160",348,274
Seodaemun0gu,Forigner,14020,143,183,183,910,"5,310","2,508","1,178",728,534,548,459,527,372,184,124,52,43,21,7,4,2
Mapo0gu,Total,385605,13137,13914,14176,16628,"29,079","37,066","33,213","34,595","30,304","33,498","28,598","26,711","22,725","15,344","13,277","11,217","7,093","3,227","1,126",357,320
Mapo0gu,Korean,373629,12945,13728,14010,16044,"25,765","34,867","31,959","33,622","29,605","32,936","28,013","26,118","22,389","15,170","13,199","11,174","7,075","3,215","1,122",355,318
Mapo0gu,Forigner,11976,192,186,166,584,"3,314","2,199","1,254",973,699,562,585,593,336,174,78,43,18,12,4,2,2
Yangcheon0gu,Total,463931,13611,20178,24458,28541,30979,"31,159","27,530","34,054","36,379","45,338","41,033","37,948","32,236","21,728","15,779","11,124","6,777","3,334","1,231",341,173
Yangcheon0gu,Korean,459849,13510,20086,24390,28487,30728,"30,757","27,001","33,639","35,980","44,908","40,529","37,440","32,026","21,665","15,747","11,114","6,770","3,329","1,231",340,172
Yangcheon0gu,Forigner,4082,101,92,68,54,251,402,529,415,399,430,504,508,210,63,32,10,7,5,0,1,1
Gangseo0gu,Total,600240,21417,23545,21903,"26,213","36,303","52,358","50,945","54,826","45,888","48,632","44,319","47,204","43,750","29,485","22,124","15,164","9,187","4,494","1,797",467,219
Gangseo0gu,Korean,593708,21161,23404,21835,"26,139","36,038","51,720","50,029","54,074","45,286","47,992","43,603","46,375","43,359","29,348","22,071","15,132","9,174","4,486","1,796",467,219
Gangseo0gu,Forigner,6532,256,141,68,74,265,638,916,752,602,640,716,829,391,137,53,32,13,8,1,0,0
Guro0gu,Total,439850,15705,17124,15159,17513,"25,230","33,353","33,452","37,681","33,645","37,637","36,479","38,908","33,012","22,784","17,597","12,691","7,366","3,006","1,060",293,155
Guro0gu,Korean,406748,14489,16244,14711,17166,"24,283","31,543","30,167","34,730","30,895","33,650","31,410","32,790","30,571","22,211","17,446","12,635","7,319","2,992","1,049",292,155
Guro0gu,Forigner,33102,1216,880,448,347,947,"1,810","3,285","2,951","2,750","3,987","5,069","6,118","2,441",573,151,56,47,14,11,1,0
Geumcheon0gu,Total,252868,7624,7765,7248,9302,"15,367","22,219","19,752","19,642","17,167","21,439","23,408","25,125","19,619","13,002","9,924","7,524","4,051","1,764",583,178,165
Geumcheon0gu,Korean,233371,6833,7175,6985,9149,"14,956","21,241","17,886","17,983","15,567","18,922","20,178","21,445","18,327","12,682","9,836","7,496","4,038","1,752",580,176,164
Geumcheon0gu,Forigner,19497,791,590,263,153,411,978,"1,866","1,659","1,600","2,517","3,230","3,680","1,292",320,88,28,13,12,3,2,1
Yeongdeungpo0gu,Total,402478,14324,13556,11903,14238,22860,"36,245","36,919","35,565","29,276","33,323","33,250","35,234","28,435","18,831","14,955","11,502","7,216","3,132","1,115",334,265
Yeongdeungpo0gu,Korean,368402,13120,12619,11355,13894,22019,"34,554","33,630","32,711","26,525","29,165","27,858","28,690","25,836","18,232","14,793","11,430","7,167","3,111","1,101",328,264
Yeongdeungpo0gu,Forigner,34076,1204,937,548,344,841,"1,691","3,289","2,854","2,751","4,158","5,392","6,544","2,599",599,162,72,49,21,14,6,1
Dongjak0gu,Total,410487,13047,14392,13492,16969,31934,39726,"33,238","33,566","29,717","32,507","30,635","31,770","27,887","19,775","16,390","12,620","7,499","3,381","1,297",355,290
Dongjak0gu,Korean,397618,12813,14209,13399,16483,28712,38065,"32,128","32,803","29,075","31,616","29,447","30,226","27,272","19,625","16,352","12,600","7,480","3,375","1,296",355,287
Dongjak0gu,Forigner,12869,234,183,93,486,3222,1661,"1,110",763,642,891,"1,188","1,544",615,150,38,20,19,6,1,0,3
Gwanak0gu,Total,519953,12621,13931,13634,18223,41934,"69,379","50,307","42,829","34,908","39,138","36,826","38,043","33,662","24,742","20,415","15,720","8,454","3,318","1,223",340,306
Gwanak0gu,Korean,502117,12074,13538,13420,17944,40381,"67,192","48,260","41,368","33,756","37,502","34,677","35,360","32,539","24,476","20,336","15,695","8,431","3,306","1,217",339,306
Gwanak0gu,Forigner,17836,547,393,214,279,1553,"2,187","2,047","1,461","1,152","1,636","2,149","2,683","1,123",266,79,25,23,12,6,1,0
Seocho0gu,Total,435258,14938,21587,22429,23768,26071,"31,452","31,464","37,087","37,286","42,336","33,639","29,648","27,098","19,202","15,736","10,575","6,113","2,866","1,347",413,203
Seocho0gu,Korean,431027,14799,21410,22280,23668,25834,"30,970","30,830","36,506","36,791","41,922","33,314","29,362","26,985","19,153","15,715","10,563","6,103","2,863","1,344",413,202
Seocho0gu,Forigner,4231,139,177,149,100,237,482,634,581,495,414,325,286,113,49,21,12,10,3,3,0,1
Gangnam0gu,Total,549043,15587,23241,27859,32803,35068,42661,"41,228","46,455","46,510","53,835","43,745","36,913","33,109","24,287","19,582","12,844","7,206","3,717","1,642",484,267
Gangnam0gu,Korean,544028,15511,23169,27806,32701,34623,41708,"40,263","45,850","46,039","53,463","43,431","36,615","32,950","24,220","19,547","12,829","7,199","3,715","1,639",484,266
Gangnam0gu,Forigner,5015,76,72,53,102,445,953,965,605,471,372,314,298,159,67,35,15,7,2,3,0,1
Songpa0gu,Total,684338,25190,29288,28940,33418,42559,55109,55790,"61,422","53,515","58,247","53,875","53,220","47,703","32,336","22,998","15,040","8,697","4,394","1,827",506,264
Songpa0gu,Korean,677489,24983,29098,28844,33347,42198,54412,54839,"60,628","52,942","57,542","53,047","52,355","47,344","32,251","22,961","15,022","8,689","4,391","1,826",506,264
Songpa0gu,Forigner,6849,207,190,96,71,361,697,951,794,573,705,828,865,359,85,37,18,8,3,1,0,0
Gangdong0gu,Total,430522,14068,17071,17289,20719,26468,32356,"30,603","35,980","32,710","36,401","34,815","36,808","33,524","22,737","16,618","11,087","6,317","3,044","1,328",355,224
Gangdong0gu,Korean,426219,13942,16967,17241,20658,26255,31947,"30,093","35,522","32,341","35,904","34,289","36,170","33,286","22,671","16,598","11,075","6,313","3,042","1,327",355,223
Gangdong0gu,Forigner,4303,126,104,48,61,213,409,510,458,369,497,526,638,238,66,20,12,4,2,1,0,1
